Certification ID,Certification Name
CC,Certified in Cybersecurity
CCNA,Cisco Certified Network Associate
CCNP,Cisco Certified Network Professional
CCSP,Certified Cloud Security Professional
CDPSE,Certified Data Privacy Solutions Engineer
CEH,Certified Ethical Hacker
CGEIT,Certified in the Governance of Enterprise IT
CHFI,Computer Hacking Forensic Investigator
CISA,Certified Information Systems Auditor
CISM,Certified Information Security Manager
CISO,Certified Information Security Officer 
CISSP,Certified Information Systems Security Professional
CRISC,Certified in Risk and Information Systems Control
CySA,CompTIA CySA+ ce Certification
GCCC,GIAC Critical Controls Certification
GCFA,GIAC Certified Forensic Analyst 
GCIA,GIAC Certified Intrusion Analyst 
GCIH,GIAC Certified Incident Handler 
GCTI,GIAC Cyber Threat Intelligence
GDPR,General Data Protection Regulation
GDSA,GIAC Defensible Security Architecture
GMON,GIAC Continuous Monitoring Certification 
GREM,GIAC Reverse Engineering Malware 
GX-FE,GIAC Experienced Forensics Examiner
ISO-20000-ITSMS,IT Service Management System
ISO-22301-LA,Certified ISO 22301 Lead Auditor Business Continuity
ISO-24762-LM,Certified ISO 24762 Lead Manager
ISO-27001-F,Information Security Foundation
ISO-27001-LA,ISO-27001 Lead Auditor
ISO-27001-LI,Lead Implementer
ISO-27002-F,Information Security Controls Foundation
ISO-27005-F,Information Security Risk Management Foundation 
ISO-27032-LM,Certified ISO 27032 Lead Manager
ISSAP,Information Systems Security Architecture Professional 
ISSMP,Information Systems Security Management Professional 
ITIL-F,Information Technology Infrastructure Library Foundations
JNCIA-Junos,"Juniper Networks Certified Associate, Junos"
NSE-4,Fortinet NSE 4 Network Security Professional
PMP,Project Management Professional
