expert_id,expertise_id
EXP-1,EXP-01
EXP-2,EXP-02
EXP-3,EXP-03
EXP-4,EXP-04
EXP-5,EXP-05
EXP-6,EXP-06
EXP-8,EXP-02
EXP-9,EXP-09
EXP-10,EXP-10
EXP-11,EXP-10
EXP-12,EXP-10
EXP-13,EXP-10
EXP-14,EXP-14
EXP-15,EXP-15
EXP-16,EXP-16
EXP-17,EXP-17
EXP-18,EXP-18
EXP-19,EXP-19
EXP-20,EXP-17
EXP-21,EXP-17
EXP-22,EXP-17
EXP-23,EXP-09
EXP-24,EXP-09
EXP-24,EXP-17
EXP-25,EXP-25
EXP-26,EXP-26
EXP-27,EXP-09
EXP-28,EXP-28
EXP-29,EXP-25
EXP-30,EXP-30
EXP-31,EXP-31
EXP-32,EXP-32
EXP-33,EXP-09
EXP-34,EXP-34
EXP-35,EXP-25
EXP-36,EXP-36
EXP-37,EXP-30
EXP-38,EXP-18
EXP-39,EXP-09
EXP-40,EXP-09
EXP-41,EXP-41
EXP-42,EXP-42
EXP-43,EXP-43
EXP-44,EXP-44
EXP-45,EXP-45
EXP-46,EXP-46
EXP-47,EXP-47
EXP-48,EXP-48
EXP-49,EXP-49
EXP-50,EXP-49
EXP-51,EXP-51
EXP-52,EXP-17
EXP-53,EXP-53
EXP-54,EXP-09
EXP-55,EXP-09
EXP-56,EXP-17
