expert_id,certification_id
EXP-1,CISSP
EXP-2,CDPSE
EXP-2,CISM
EXP-2,CRISC
EXP-2,ISO-27001-LA
EXP-3,CC
EXP-3,ISO-27001-LA
EXP-4,CC
EXP-4,CISSP
EXP-4,CRISC
EXP-5,CDPSE
EXP-5,CISA
EXP-5,CISM
EXP-5,CRISC
EXP-5,ISO-22301-LA
EXP-6,CDPSE
EXP-6,CISA
EXP-6,ISO-22301-LA
EXP-8,CISM
EXP-8,ISO-27001-LA
EXP-8,ITIL-F
EXP-8,PMP
EXP-9,CDPSE
EXP-9,CISM
EXP-9,CRISC
EXP-9,ITIL-F
EXP-10,CISA
EXP-10,ISO-22301-LA
EXP-10,ISO-27001-LA
EXP-11,CISA
EXP-11,CISM
EXP-12,CDPSE
EXP-12,CISA
EXP-12,CRISC
EXP-12,ITIL-F
EXP-13,CISA
EXP-13,ISO-27001-LA
EXP-14,CGEIT
EXP-14,CISA
EXP-14,CISM
EXP-14,CRISC
EXP-15,CC
EXP-15,CHFI
EXP-15,CISSP
EXP-15,ISO-27001-LA
EXP-16,CISM
EXP-16,CISO
EXP-16,ISO-27001-F
EXP-16,ISO-27002-F
EXP-16,ISO-27005-F
EXP-17,CCNP
EXP-17,CCSP
EXP-17,JNCIA-Junos
EXP-18,CEH
EXP-18,CISA
EXP-18,CISO
EXP-18,ITIL-F
EXP-18,PMP
EXP-19,CISSP
EXP-19,CRISC
EXP-19,ISO-27001-LI
EXP-19,ITIL-F
EXP-20,CCNA
EXP-20,CEH
EXP-20,CySA
EXP-20,ISO-27001-F
EXP-21,CISA
EXP-21,CRISC
EXP-21,GCCC
EXP-22,CCSP
EXP-22,CISSP
EXP-22,GDSA
EXP-23,CCNA
EXP-23,CCSP
EXP-23,CISM
EXP-23,CISSP
EXP-23,CRISC
EXP-23,GCFA
EXP-23,GCIA
EXP-23,GCIH
EXP-23,GCTI
EXP-23,GREM
EXP-23,GX-FE
EXP-23,ISSAP
EXP-23,ISSMP
EXP-24,CISM
EXP-24,CISA
EXP-24,CCNA
EXP-25,CC
EXP-25,CISM
EXP-25,ISO-20000-ITSMS
EXP-26,CISSP
EXP-26,ISO-27001-LA
EXP-26,ISO-27005-F
EXP-27,CISSP
EXP-27,CySA
EXP-27,ITIL-F
EXP-28,CGEIT
EXP-28,CISA
EXP-28,CISM
EXP-28,CRISC
EXP-29,CISA
EXP-29,CISM
EXP-29,CRISC
EXP-29,ISO-27001-F
EXP-30,CISA
EXP-30,CISM
EXP-30,CISSP
EXP-30,CRISC
EXP-31,CCNA
EXP-31,CISSP
EXP-32,CCNA
EXP-32,JNCIA-Junos
EXP-32,NSE-4
EXP-33,CCNA
EXP-33,CEH
EXP-33,ISO-27001-LA
EXP-34,CISA
EXP-34,ISO-22301-LA
EXP-35,CGEIT
EXP-35,CISA
EXP-36,CC
EXP-36,CEH
EXP-36,CISM
EXP-36,CISSP
EXP-37,CC
EXP-37,CCSP
EXP-37,CISSP
EXP-38,CCNA 
EXP-38,CCSP
EXP-38,CISM
EXP-38,CISSP
EXP-39,CISSP
EXP-39,CySA
EXP-39,GDPR
EXP-39,ISO-27001-F
EXP-40,CEH
EXP-40,CISA
EXP-40,CISM
EXP-40,CISO
EXP-41,CISA
EXP-41,CISM
EXP-41,CISSP
EXP-42,CEH
EXP-42,CISM
EXP-42,CISSP
EXP-43,CEH
EXP-43,CISM
EXP-43,CISSP
EXP-43,ISO-27001-LA
EXP-44,CEH
EXP-44,CISM
EXP-44,CRISC
EXP-45,CCNP
EXP-45,CEH
EXP-45,CISA
EXP-45,CISM
EXP-45,CRISC
EXP-45,ISO-27001-LA
EXP-46,CEH
EXP-46,CISM
EXP-46,CISO
EXP-46,CySA
EXP-47,CISM
EXP-47,CISSP
EXP-47,GMON
EXP-47,ISO-27001-LA
EXP-48,CISSP
EXP-49,CCNA
EXP-49,CISSP
EXP-49,CISM
EXP-49,ISO-27001-LA
EXP-50,CEH
EXP-50,CISA
EXP-51,CDPSE
EXP-51,CEH
EXP-51,CISA
EXP-51,CISM
EXP-51,CRISC
EXP-51,ISO-27001-LA
EXP-52,CDPSE
EXP-52,CISA
EXP-52,CISM
EXP-52,CISSP
EXP-53,CDPSE
EXP-53,CISA
EXP-53,CISM
EXP-53,CISSP
EXP-54,CDPSE
EXP-54,CISM
EXP-55,CDPSE
EXP-55,CISM
EXP-56,CDPSE
EXP-56,CISA
EXP-56,CISM
EXP-56,CISSP
EXP-56,CRISC
EXP-56,ISO-22301-LA
EXP-56,ISO-24762-LM
EXP-56,ISO-27032-LM
